FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
GERANIACEAE,Geranium,H,N,Geranium,"annual or perennial herbs, rarely subshrubs, occasionally woody at base",,,,Geranium-type
GERANIACEAE,Geranium sp.,H,N,Geranium,"annual or perennial herbs, rarely subshrubs, occasionally woody at base",,,,Geranium-type
GUNNERACEAE,Gunnera perpensa,H,N,Gunnera perpensa,rhizomatous herb,,,,Gunnera perpensa
HALORRHAGACEAE,Haloragaceae,H,N,Halorrhagaceae undiff.,"aquatic or terrestrial herbs, or subshrubs",,,mis-spelling,Halorrhagaceae undiff.
HALORRHAGACEAE,Halorrhagaceae undiff.,H,N,Halorrhagaceae undiff.,"aquatic or terrestrial herbs, or subshrubs",,,mis-spelling,Halorrhagaceae undiff.
HYPERICACEAE,Hypericum afromontanum,H,N,Hypericum annulatum-type,perennial herb with erect stems up to 75 cm tall,,,syn. H. annulatum,Hypericum annulatum-type
HYPERICACEAE,Hypericum peplidifolium,H,N,Hypericum peplidifolium-type,"perennial herb, stems prostrate, procumbent or ascending up to 60 cm",,,,Hypericum peplidifolium-type
LAMIACEAE,type Ajuga,H,N,Ajuga,perennial herbs,,,,Ajuga
LAMIACEAE,Basilicum polystachon,H,N,Basilicum-type polystachyon,herb reaching 1 m high,,,mis-spelling,Basilicum-type polystachyon
LAMIACEAE,Basilicum-type,H,N,Basilicum-type polystachyon,herb reaching 1 m high,,"Satureja punctata (H), S. abyssinica (H); Orthosiphon somalensis (H), Hoslundia opposita (S)",,Basilicum-type polystachyon
LAMIACEAE,Basilicum-type polystachyon,H,N,Basilicum-type polystachyon,herb reaching 1 m high,,"Satureja punctata (H), S. abyssinica (H); Orthosiphon somalensis (H), Hoslundia opposita (S)",,Basilicum-type polystachyon
LAMIACEAE,Satureja cf. kilimandscharica,H,N,Satureja-type kilimandschari,low trailing herb,,some Basilicum (H),mis-spelling,Clinopodium-type kilimandschari
LAMIACEAE,Satureja paradoxa,H,N,Satureja-type paradoxa,herb,,,,Clinopodium-type paradoxum
LAMIACEAE,Hyptis-type,H,N,Hyptis,annual or perennial herbs or suffrtutex,,,,Hyptis
LAMIACEAE,Lavandula type,H,N,Lavandula-type,perennial herbs or subshrubs,,,,Lavandula-type
LAMIACEAE,Lavandula-type,H,N,Lavandula-type,perennial herbs or subshrubs,,,,Lavandula-type
LAMIACEAE,t.Lavandula,H,N,Lavandula-type,perennial herbs or subshrubs,,,,Lavandula-type
LAMIACEAE,Leonotis,H,N,Leonotis-type,herbs or suffrutex,,some Leucas (H),,Leonotis-type
LAMIACEAE,Leonotis sp.,H,N,Leonotis-type,herbs or suffrutex,,some Leucas (H),,Leonotis-type
LAMIACEAE,Leonotis type,H,N,Leonotis-type,herbs or suffrutex,,some Leucas (H),,Leonotis-type
LAMIACEAE,Leonotis-type,H,N,Leonotis-type,herbs or suffrutex,,some Leucas (H),,Leonotis-type
LAMIACEAE,Leonotis-type africana,H,N,Leonotis-type nepetifolia,"robust herb 1,5-2,5 m high",,,syn. L. nepetifolia,Leonotis-type nepetifolia
LAMIACEAE,Leonotis-type nepetifolia,H,N,Leonotis-type nepetifolia,"robust herb 1,5-2,5 m high",,,,Leonotis-type nepetifolia
LAMIACEAE,Leucas cf.,H,N,Leucas-type,annual or perennial herbs or subshrubs,,some Leonotis (H),,Leucas-type
LAMIACEAE,Leucas type,H,N,Leucas-type,annual or perennial herbs or subshrubs,,some Leonotis (H),,Leucas-type
LAMIACEAE,Leucas-type,H,N,Leucas-type,annual or perennial herbs or subshrubs,,some Leonotis (H),,Leucas-type
LAMIACEAE,type Mentha,H,N,Mentha-type,perennial rhizomatous herbs,,,,Mentha-type
LAMIACEAE,Hyptis pectinata-type,H,N,Hyptis pectinata-type,suffrutex 3 m high,,H. longiflora (H),introduced,Mesosphaerum pectinatum-type
LAMIACEAE,Hyptis-type pectinata,H,N,Hyptis pectinata-type,suffrutex 3 m high,,H. longiflora (H),introduced,Mesosphaerum pectinatum-type
LAMIACEAE,Labiatae cf Hyptis pectinata,H,N,Hyptis pectinata-type,suffrutex 3 m high,,H. longiflora (H),introduced,Mesosphaerum pectinatum-type
LAMIACEAE,type Hyptis pectinata,H,N,Hyptis pectinata-type,suffrutex 3 m high,,H. longiflora (H),introduced,Mesosphaerum pectinatum-type
LAMIACEAE,Ocimum-type basilicum,H,N,Ocimum-type basilicum,annual herb,,Plectranthus hadiensis (S); O. kilimandscharicum (S),introduced,Ocimum-type basilicum
LAMIACEAE,Solenostemon monostachyus,H,N,Solenostemon-type monostachyus,erect herb,,,,Plectranthus-type monostachyus
LENTIBULARIACEAE,Urticulariaceae,H(aep),N,Lentibulariaceae undiff.,"terrestrial, epiphytic or aquatic herbs",,,mis-spelling; syn. Lentibulariaceae,Lentibulariaceae undiff.
LENTIBULARIACEAE,Utricularia (Africa),H(aep),N,Utricularia,"herbs, annual or perennial, terrestrial,epiphytic or aquatic",,,,Utricularia
LENTIBULARIACEAE,Utricularia sp.,H(aep),N,Utricularia,"herbs, annual or perennial, terrestrial,epiphytic or aquatic",,,,Utricularia
LENTIBULARIACEAE,Urticularia sublata,H,N,Utricularia subulata-type,terrestrial herb,,,mis-spelling,Utricularia subulata-type
LINACEAE,Linum strictum-type,H,N,Linum strictum-type,"annual herb, stems 5-25 cm high",,,,Linum strictum-type
LINACEAE,Linum tenuifolium-type,H,N,Linum tenuifolium-type,perennial herb,,,,Linum suffruticosum-type
LOBELIACEAE,Lobelia ancept,H,N,Lobelia anceps-type,perennial herb up to 60 cm tall,,,mis-spelling,Lobelia anceps-type
LOBELIACEAE,Lobelia cf. anceps,H,N,Lobelia anceps-type,perennial herb up to 60 cm tall,,,,Lobelia anceps-type
LOBELIACEAE,Lobelia cf. L. holstii,H,N,Lobelia holstii-type,perennial herb 10-50 cm tall,,,,Lobelia holstii-type
LOBELIACEAE,Lobelia holstii-type,H,N,Lobelia holstii-type,perennial herb 10-50 cm tall,,,,Lobelia holstii-type
LOBELIACEAE,Lobelia rhynchopetalum,H,N,Lobelia rhynchopetalum-type,evergreen giant herb up to 12 m tall with a palm-like habit,,,,Lobelia rhynchopetalum-type
LOBELIACEAE,Lobelia rhynchopetalum-type,H,N,Lobelia rhynchopetalum-type,evergreen giant herb up to 12 m tall with a palm-like habit,,,,Lobelia rhynchopetalum-type
MALVACEAE,Hibiscus micranthus,H,N,Hibiscus micranthus-type,suffrutex 1-2 m high,,,,Hibiscus micranthus-type
MALVACEAE,Hibiscus-type micranthus,H,N,Hibiscus micranthus-type,suffrutex 1-2 m high,,,,Hibiscus micranthus-type
MALVACEAE,Hibiscus rostellatus,H,N,Hibiscus rostellatus-type,"herb or suffrutex, erect or sarmentose, 1-3 m long",,,,Hibiscus rostellatus-type
MELASTOMATACEAE,Dissotis-type canescens,H,N,Heterotis-type canescens,woody herb 50-120 (-180) cm high,,some Dissotis (HS(T)),syn. Heterotis canescens,Argyrella-type canescens
MELASTOMATACEAE,Heterotis-type canescens,H,N,Heterotis-type canescens,woody herb 50-120 (-180) cm high,,some Dissotis (HS(T)),,Argyrella-type canescens
MELASTOMATACEAE,Dissotis rotundifolia,H,N,Heterotis-type rotundifolia,"decumbent herb, with erect branches up to 16 cm",,some Dissotis (HS(T)),syn. Heterotis rotundifolia,Argyrella-type canescens
MELASTOMATACEAE,Calvoa-type,H(ep),N,Calvoa,"succulent or semi-woody herbs, sometimes epiphitic",,,,Calvoa
MORACEAE,Dorstenia subtrangularis-type,H,N,Dorstenia barteri-type,erect perennial herb,,D. zenkeri (?),syn. Dorstenia barteri; mis-spelling,Dorstenia barteri-type
MORACEAE,Dorstenia subtriangularis-type,H,N,Dorstenia barteri-type,erect perennial herb,,D. zenkeri (?),syn. Dorstenia barteri,Dorstenia barteri-type
MORACEAE,Dorstenia crispa-type,H,N,Dorstenia foetida-type,perennial herb,,"D. africana (S), D. barnimiana (H), D. cuspidata (H), D. ellenbeckiana (H)",syn. Dorstenia foetida,Dorstenia foetida-type
MORACEAE,Dorstenia foetida-type,H,N,Dorstenia foetida-type,perennial herb,,"D. africana (S), D. barnimiana (H), D. cuspidata (H), D. ellenbeckiana (H)",,Dorstenia foetida-type
MORACEAE,Dorstenia zanzibarica-type,H,N,Dorstenia zanzibarica-type,herb up to 0.7 m tall,,,,Dorstenia zanzibarica-type
NYCTAGINACEAE,Commicarpus ou Boerhaavia,H(L),N,Boerhavia/Commicarpus,"herbs, sometimes scandent",,,,Boerhavia/Commicarpus
NYCTAGINACEAE,type Boerhavia/Commicarpus,H(L),N,Boerhavia/Commicarpus,"herbs, sometimes scandent",,,,Boerhavia/Commicarpus
NYCTAGINACEAE,Boerhavia-type,H,N,Boerhavia-type,"ephemeral to perennial herbs, never scandent",,Commicarpus (H(L)),,Boerhavia-type
NYCTAGINACEAE,Cf Boerhavia,H,N,Boerhavia-type,"ephemeral to perennial herbs, never scandent",,Commicarpus (H(L)),,Boerhavia-type
NYCTAGINACEAE,cf Boerhavia,H,N,Boerhavia-type,"ephemeral to perennial herbs, never scandent",,Commicarpus (H(L)),,Boerhavia-type
NYCTAGINACEAE,Cf Boerhavia,H,N,Boerhavia-type,"ephemeral to perennial herbs, never scandent",,Commicarpus (H(L)),,Boerhavia-type
OCHNACEAE,Sauvagesia erecta,H,N,Sauvagesia erecta,"annual or perennial herb, sometimes suffrutex, 5-60 cm tall",,,,Sauvagesia erecta
OCHNACEAE,Sauvagesia type,H,N,Sauvagesia erecta,"annual or perennial herb, sometimes suffrutex, 5-60 cm tall",,,,Sauvagesia erecta
OCHNACEAE,Sauvagesia-type,H,N,Sauvagesia erecta,"annual or perennial herb, sometimes suffrutex, 5-60 cm tall",,,,Sauvagesia erecta
OROBANCHACEAE,Orobanche (cf. aegyptiaca),Hp,N,Orobanche aegyptiaca-type,"herb, parasitic on roots",,,,Phelipanche aegyptiaca-type
PEDALIACEAE,Pedalaiaceae cf. Sesamum,H,N,Sesamum,annual or perennial herbs,,,,Sesamum
PLANTAGINACEAE,Plantago,H,N,Plantago,annual or perennial terrestrial herbs,,,,Plantago
PLANTAGINACEAE,Plantago (2 especes),H,N,Plantago,annual or perennial terrestrial herbs,,,,Plantago
PLANTAGINACEAE,Plantago (Africa),H,N,Plantago,annual or perennial terrestrial herbs,,,,Plantago
PLANTAGINACEAE,Plantago sp.,H,N,Plantago,annual or perennial terrestrial herbs,,,,Plantago
PLANTAGINACEAE,Plantago spp.,H,N,Plantago,annual or perennial terrestrial herbs,,,,Plantago
PLANTAGINACEAE,Plantago tanalensis/major,H,N,Plantago,annual or perennial terrestrial herbs,,,P. tanalensis not in Lebrun & Stork; P. major introduced,Plantago
PLANTAGINACEAE,Plantago-type,H,N,Plantago,annual or perennial terrestrial herbs,,,,Plantago
PLANTAGINACEAE,Plantago afra-type,H,N,Plantago afra-type,annual herb 15-50 cm tall,,"P. africana (H), P. palmata (H), P. fisheri (H)",syn. de P. afra,Plantago afra-type
PLANTAGINACEAE,Plantago psyllium,H,N,Plantago afra-type,annual herb 15-50 cm tall,,"P. africana (H), P. palmata (H), P. fisheri (H)",syn. de P. afra,Plantago afra-type
PLANTAGINACEAE,Plantago psyllium-type,H,N,Plantago afra-type,annual herb 15-50 cm tall,,"P. africana (H), P. palmata (H), P. fisheri (H)",syn. de P. afra,Plantago afra-type
PLANTAGINACEAE,Plantago africana-type,H,N,Plantago africana-type,perennial herb,,"P. afra (H), P. palmata (H), P. fisheri (H)",,Plantago africana-type
PLANTAGINACEAE,Plantago amplexicaulis-type,H,N,Plantago amplexicaulis-type,annual herb,,,,Plantago amplexicaulis-type
PLANTAGINACEAE,Plantago ciliata,H,N,Plantago ciliata-type,annual herb,,P. coronopus (H),(N. Africa),Plantago ciliata-type
PLANTAGINACEAE,Plantago (coronopus),H,N,Plantago coronopus-type,herb,,P. ciliata (H),"Ethiopia, Lybie, Algérie, Maroc",Plantago coronopus-type
PLANTAGINACEAE,Plantago cf. coronopus,H,N,Plantago coronopus-type,herb,,P. ciliata (H),"Ethiopia, Lybie, Algérie, Maroc",Plantago coronopus-type
PLANTAGINACEAE,Plantago coronopus,H,N,Plantago coronopus-type,herb,,P. ciliata (H),"Ethiopia, Lybie, Algérie, Maroc",Plantago coronopus-type
PLANTAGINACEAE,Plantago coronopus-type,H,N,Plantago coronopus-type,herb,,P. ciliata (H),"Ethiopia, Lybie, Algérie, Maroc",Plantago coronopus-type
PLANTAGINACEAE,Plantago type coronopus,H,N,Plantago coronopus-type,herb,,P. ciliata (H),"Ethiopia, Lybie, Algérie, Maroc",Plantago coronopus-type
PLANTAGINACEAE,Plantago lanceolata,H,N,Plantago lanceolata-type,perennial herb,,,introduced,Plantago lanceolata-type
PLANTAGINACEAE,Plantago lanceolata-type,H,N,Plantago lanceolata-type,perennial herb,,,introduced,Plantago lanceolata-type
PLANTAGINACEAE,Plantago type lanceolata,H,N,Plantago lanceolata-type,perennial herb,,,introduced,Plantago lanceolata-type
PLANTAGINACEAE,Plantago (media),H,N,Plantago media-type,perennial herb,,,sp. not in Lebrun & Stork ,Plantago media-type
PLUMBAGINACEAE,Limonium-type humile,H,N,Limonium-type humile,perennial herb,,"some Limoniastrum (S), Armeria ?",sp. not in Lebrun & Stork (Europe),Limonium-type humile
POACEAE,Ceralia-Typ,H,N,Cerealia,herbs,,,mis-spelling; cultivated Poaceae ?,Cerealia
POACEAE,Cereales,H,N,Cerealia,herbs,,,cultivated Poaceae ?,Cerealia
POACEAE,Cerealia-Typ,H,N,Cerealia,herbs,,,,Cerealia
POACEAE,Lygeum spartum,H,N,Lygeum spartum,"rhizomatous perennial herb, stems erect  20-80 cm high",,,not in Lebrun & Stork (Mediterranean),Lygeum spartum
POACEAE,Panicum sp,H,N,Panicum,annual or perennial herbs,,,,Panicum
POACEAE,Panicum-type,H,N,Panicum,annual or perennial herbs,,,,Panicum
POACEAE,Gramineae (Africa),H(T),N,Poaceae undiff.,annual or perennial herbs (rarely tree-like: bamboo),,,,Poaceae undiff.
